x,p,T
-0.152,68970,289
-0.14945,68970,289
-0.1464,68970,289
-0.14335,68970,289
-0.1403,68970,289
-0.13725,68970,289
-0.1342,68970,289
-0.13115,68970,289
-0.1281,68970,289
-0.12505,68970,289
-0.122,68970,289
-0.11895,68970,289
-0.1159,68970,289
-0.11285,68970,289
-0.1098,68970,289
-0.10675,68970,289
-0.1037,68970,289
-0.10065,68970,289
-0.0976,68970,289
-0.09455,68970,289
-0.0915,68970,289
-0.08845,68970,289
-0.0854,68970,289
-0.08235,68970,289
-0.0793,68970,289
-0.07625,68970,289
-0.0732,68970,289
-0.07015,68970,289
-0.0671,68970,289
-0.06405,68970,289
-0.061,68970,289
-0.05795,68970,289
-0.0549,68970,289
-0.05185,68970,289
-0.0488,68970,289
-0.04575,68970,289
-0.0427,68970,289
-0.03965,68970,289
-0.0366,68970,289
-0.03355,68970,289
-0.0305,68970,289
-0.02745,68970,289
-0.0244,68970,289
-0.02135,68970,289
-0.0183,68970,289
-0.01525,68970,289
-0.0122,68970,289
-0.00915,68970,289
-0.0061,68970,289
-0.00305,68970,289
-8.27181e-25,63970,289
0.00305,58970,289
0.0061,58970,289
0.00915,58970,289
0.0122,58970,289
0.01525,58970,289
0.0183,58970,289
0.02135,58970,289
0.0244,58970,289
0.02745,58970,289
0.0305,58970,289
0.03355,58970,289
0.0366,58970,289
0.03965,58970,289
0.0427,58970,289
0.04575,58970,289
0.0488,58970,289
0.05185,58970,289
0.0549,58970,289
0.05795,58970,289
0.061,58970,289
0.06405,58970,289
0.0671,58970,289
0.07015,58970,289
0.0732,58970,289
0.07625,58970,289
0.0793,58970,289
0.08235,58970,289
0.0854,58970,289
0.08845,58970,289
0.0915,58970,289
0.09455,58970,289
0.0976,58970,289
0.10065,58970,289
0.1037,58970,289
0.10675,58970,289
0.1098,58970,289
0.11285,58970,289
0.1159,58970,289
0.11895,58970,289
0.122,58970,289
0.12505,58970,289
0.1281,58970,289
0.13115,58970,289
0.1342,58970,289
0.13725,58970,289
0.1403,58970,289
0.14335,58970,289
0.1464,58970,289
0.14945,58970,289
0.152,58970,289
